city,year,yearcount,weekofyear,total_cases
sj,1994,4,23,31
sj,1994,4,24,31
sj,1994,4,25,38
sj,1994,4,26,49
sj,1994,4,27,42
sj,1994,4,28,49
sj,1994,4,29,55
sj,1994,4,30,80
sj,1994,4,31,84
sj,1994,4,32,72
sj,1994,4,33,89
sj,1994,4,34,115
sj,1994,4,35,179
sj,1994,4,36,202
sj,1994,4,37,272
sj,1994,4,38,302
sj,1994,4,39,395
sj,1994,4,40,426
sj,1994,4,41,461
sj,1994,4,42,381
sj,1994,4,43,333
sj,1994,4,44,353
sj,1994,4,45,410
sj,1994,4,46,364
sj,1994,4,47,359
sj,1994,4,48,288
sj,1994,4,49,221
sj,1994,4,50,149
sj,1994,4,51,112
sj,1995,4,52,154
sj,1995,4,1,91
sj,1995,4,2,72
sj,1995,4,3,56
sj,1995,4,4,46
sj,1995,4,5,37
sj,1995,4,6,26
sj,1995,4,7,17
sj,1995,4,8,17
sj,1995,4,9,20
sj,1995,4,10,11
sj,1995,4,11,7
sj,1995,4,12,16
sj,1995,4,13,14
sj,1995,4,14,16
sj,1995,4,15,5
sj,1995,4,16,2
sj,1995,4,17,6
sj,1995,5,18,5
sj,1995,5,19,4
sj,1995,5,20,3
sj,1995,5,21,4
sj,1995,5,22,16
sj,1995,5,23,8
sj,1995,5,24,7
sj,1995,5,25,10
sj,1995,5,26,14
sj,1995,5,27,7
sj,1995,5,28,9
sj,1995,5,29,11
sj,1995,5,30,23
sj,1995,5,31,17
sj,1995,5,32,19
sj,1995,5,33,24
sj,1995,5,34,17
sj,1995,5,35,28
sj,1995,5,36,40
sj,1995,5,37,33
sj,1995,5,38,31
sj,1995,5,39,33
sj,1995,5,40,29
sj,1995,5,41,30
sj,1995,5,42,36
sj,1995,5,43,48
sj,1995,5,44,40
sj,1995,5,45,28
sj,1995,5,46,36
sj,1995,5,47,19
sj,1995,5,48,34
sj,1995,5,49,23
sj,1995,5,50,17
sj,1995,5,51,17
sj,1996,5,1,23
sj,1996,5,2,14
sj,1996,5,3,20
sj,1996,5,4,13
sj,1996,5,5,23
sj,1996,5,6,20
sj,1996,5,7,16
sj,1996,5,8,16
sj,1996,5,9,23
sj,1996,5,10,14
sj,1996,5,11,15
sj,1996,5,12,4
sj,1996,5,13,5
sj,1996,5,14,5
sj,1996,5,15,11
sj,1996,5,16,11
sj,1996,5,17,7
sj,1996,6,18,4
sj,1996,6,19,6
sj,1996,6,20,5
sj,1996,6,21,2
sj,1996,6,22,4
sj,1996,6,23,2
sj,1996,6,24,4
sj,1996,6,25,6
sj,1996,6,26,6
sj,1996,6,27,4
sj,1996,6,28,6
sj,1996,6,29,11
sj,1996,6,30,16
sj,1996,6,31,9
sj,1996,6,32,12
sj,1996,6,33,13
sj,1996,6,34,27
sj,1996,6,35,21
sj,1996,6,36,19
sj,1996,6,37,17
sj,1996,6,38,24
sj,1996,6,39,27
sj,1996,6,40,30
sj,1996,6,41,29
sj,1996,6,42,25
sj,1996,6,43,35
sj,1996,6,44,33
sj,1996,6,45,30
sj,1996,6,46,29
sj,1996,6,47,31
sj,1996,6,48,29
sj,1996,6,49,22
sj,1996,6,50,27
sj,1996,6,51,24
sj,1996,6,52,26
sj,1997,6,1,29
sj,1997,6,2,22
sj,1997,6,3,33
sj,1997,6,4,24
sj,1997,6,5,30
sj,1997,6,6,20
sj,1997,6,7,17
sj,1997,6,8,24
sj,1997,6,9,28
sj,1997,6,10,18
sj,1997,6,11,13
sj,1997,6,12,9
sj,1997,6,13,14
sj,1997,6,14,11
sj,1997,6,15,11
sj,1997,6,16,19
sj,1997,6,17,10
sj,1997,7,18,8
sj,1997,7,19,8
sj,1997,7,20,9
sj,1997,7,21,3
sj,1997,7,22,7
sj,1997,7,23,14
sj,1997,7,24,4
sj,1997,7,25,9
sj,1997,7,26,14
sj,1997,7,27,7
sj,1997,7,28,9
sj,1997,7,29,3
sj,1997,7,30,3
sj,1997,7,31,14
sj,1997,7,32,12
sj,1997,7,33,10
sj,1997,7,34,21
sj,1997,7,35,26
sj,1997,7,36,47
sj,1997,7,37,42
sj,1997,7,38,31
sj,1997,7,39,34
sj,1997,7,40,33
sj,1997,7,41,52
sj,1997,7,42,56
sj,1997,7,43,70
sj,1997,7,44,112
sj,1997,7,45,70
sj,1997,7,46,47
sj,1997,7,47,48
sj,1997,7,48,49
sj,1997,7,49,66
sj,1997,7,50,56
sj,1997,7,51,61
sj,1997,7,52,67
sj,1998,7,1,64
sj,1998,7,2,68
sj,1998,7,3,49
sj,1998,7,4,50
sj,1998,7,5,56
sj,1998,7,6,75
sj,1998,7,7,63
sj,1998,7,8,62
sj,1998,7,9,41
sj,1998,7,10,50
sj,1998,7,11,34
sj,1998,7,12,31
sj,1998,7,13,38
sj,1998,7,14,30
sj,1998,7,15,32
sj,1998,7,16,26
sj,1998,7,17,30
sj,1998,8,18,36
sj,1998,8,19,35
sj,1998,8,20,46
sj,1998,8,21,48
sj,1998,8,22,44
sj,1998,8,23,51
sj,1998,8,24,59
sj,1998,8,25,71
sj,1998,8,26,102
sj,1998,8,27,128
sj,1998,8,28,127
sj,1998,8,29,150
sj,1998,8,30,191
sj,1998,8,31,256
sj,1998,8,32,329
sj,1998,8,33,263
sj,1998,8,34,220
sj,1998,8,35,204
sj,1998,8,36,181
sj,1998,8,37,99
sj,1998,8,38,54
sj,1998,8,39,80
sj,1998,8,40,102
sj,1998,8,41,127
sj,1998,8,42,73
sj,1998,8,43,68
sj,1998,8,44,64
sj,1998,8,45,55
sj,1998,8,46,67
sj,1998,8,47,84
sj,1998,8,48,85
sj,1998,8,49,67
sj,1998,8,50,73
sj,1998,8,51,89
sj,1998,8,52,68
sj,1999,8,53,59
sj,1999,8,1,56
sj,1999,8,2,77
sj,1999,8,3,75
sj,1999,8,4,47
sj,1999,8,5,50
sj,1999,8,6,42
sj,1999,8,7,28
sj,1999,8,8,37
sj,1999,8,9,37
sj,1999,8,10,27
sj,1999,8,11,12
sj,1999,8,12,15
sj,1999,8,13,22
sj,1999,8,14,8
sj,1999,8,15,15
sj,1999,8,16,17
sj,1999,8,17,10
sj,1999,9,18,9
sj,1999,9,19,11
sj,1999,9,20,20
sj,1999,9,21,13
sj,1999,9,22,11
sj,1999,9,23,16
sj,1999,9,24,11
sj,1999,9,25,7
sj,1999,9,26,17
sj,1999,9,27,14
sj,1999,9,28,13
sj,1999,9,29,15
sj,1999,9,30,30
sj,1999,9,31,25
sj,1999,9,32,40
sj,1999,9,33,44
sj,1999,9,34,25
sj,1999,9,35,21
sj,1999,9,36,48
sj,1999,9,37,56
sj,1999,9,38,60
sj,1999,9,39,45
sj,1999,9,40,55
sj,1999,9,41,32
sj,1999,9,42,46
sj,1999,9,43,61
sj,1999,9,44,42
sj,1999,9,45,37
sj,1999,9,46,43
sj,1999,9,47,34
sj,1999,9,48,40
sj,1999,9,49,25
sj,1999,9,50,16
sj,1999,9,51,17
sj,2000,9,52,17
sj,2000,9,1,16
sj,2000,9,2,23
sj,2000,9,3,18
sj,2000,9,4,18
sj,2000,9,5,9
sj,2000,9,6,7
sj,2000,9,7,7
sj,2000,9,8,4
sj,2000,9,9,3
sj,2000,9,10,2
sj,2000,9,11,8
sj,2000,9,12,3
sj,2000,9,13,1
sj,2000,9,14,1
sj,2000,9,15,2
sj,2000,9,16,3
sj,2000,9,17,3
sj,2000,10,18,2
sj,2000,10,19,0
sj,2000,10,20,0
sj,2000,10,21,2
sj,2000,10,22,2
sj,2000,10,23,0
sj,2000,10,24,6
sj,2000,10,25,3
sj,2000,10,26,6
sj,2000,10,27,2
sj,2000,10,28,3
sj,2000,10,29,2
sj,2000,10,30,4
sj,2000,10,31,5
sj,2000,10,32,2
sj,2000,10,33,9
sj,2000,10,34,2
sj,2000,10,35,4
sj,2000,10,36,8
sj,2000,10,37,6
sj,2000,10,38,3
sj,2000,10,39,11
sj,2000,10,40,14
sj,2000,10,41,15
sj,2000,10,42,20
sj,2000,10,43,9
sj,2000,10,44,20
sj,2000,10,45,28
sj,2000,10,46,38
sj,2000,10,47,30
sj,2000,10,48,30
sj,2000,10,49,23
sj,2000,10,50,16
sj,2000,10,51,22
sj,2001,10,1,28
sj,2001,10,2,14
sj,2001,10,3,17
sj,2001,10,4,20
sj,2001,10,5,17
sj,2001,10,6,10
sj,2001,10,7,13
sj,2001,10,8,20
sj,2001,10,9,9
sj,2001,10,10,18
sj,2001,10,11,9
sj,2001,10,12,8
sj,2001,10,13,19
sj,2001,10,14,11
sj,2001,10,15,4
sj,2001,10,16,6
sj,2001,10,17,6
sj,2001,11,18,8
sj,2001,11,19,13
sj,2001,11,20,8
sj,2001,11,21,8
sj,2001,11,22,5
sj,2001,11,23,16
sj,2001,11,24,12
sj,2001,11,25,11
sj,2001,11,26,18
sj,2001,11,27,10
sj,2001,11,28,22
sj,2001,11,29,14
sj,2001,11,30,16
sj,2001,11,31,18
sj,2001,11,32,27
sj,2001,11,33,38
sj,2001,11,34,35
sj,2001,11,35,41
sj,2001,11,36,51
sj,2001,11,37,65
sj,2001,11,38,55
sj,2001,11,39,54
sj,2001,11,40,62
sj,2001,11,41,64
sj,2001,11,42,56
sj,2001,11,43,65
sj,2001,11,44,71
sj,2001,11,45,75
sj,2001,11,46,71
sj,2001,11,47,72
sj,2001,11,48,47
sj,2001,11,49,27
sj,2001,11,50,35
sj,2001,11,51,25
sj,2001,11,52,19
sj,2002,11,1,37
sj,2002,11,2,38
sj,2002,11,3,34
sj,2002,11,4,26
sj,2002,11,5,19
sj,2002,11,6,18
sj,2002,11,7,22
sj,2002,11,8,16
sj,2002,11,9,18
sj,2002,11,10,6
sj,2002,11,11,12
sj,2002,11,12,6
sj,2002,11,13,6
sj,2002,11,14,3
sj,2002,11,15,7
sj,2002,11,16,6
sj,2002,11,17,1
sj,2002,12,18,3
sj,2002,12,19,2
sj,2002,12,20,2
sj,2002,12,21,1
sj,2002,12,22,10
sj,2002,12,23,3
sj,2002,12,24,3
sj,2002,12,25,1
sj,2002,12,26,1
sj,2002,12,27,2
sj,2002,12,28,6
sj,2002,12,29,3
sj,2002,12,30,3
sj,2002,12,31,5
sj,2002,12,32,4
sj,2002,12,33,7
sj,2002,12,34,6
sj,2002,12,35,5
sj,2002,12,36,7
sj,2002,12,37,6
sj,2002,12,38,4
sj,2002,12,39,4
sj,2002,12,40,7
sj,2002,12,41,9
sj,2002,12,42,5
sj,2002,12,43,5
sj,2002,12,44,10
sj,2002,12,45,6
sj,2002,12,46,13
sj,2002,12,47,6
sj,2002,12,48,5
sj,2002,12,49,5
sj,2002,12,50,9
sj,2002,12,51,3
sj,2002,12,52,6
sj,2003,12,1,11
sj,2003,12,2,7
sj,2003,12,3,7
sj,2003,12,4,15
sj,2003,12,5,9
sj,2003,12,6,6
sj,2003,12,7,6
sj,2003,12,8,6
sj,2003,12,9,7
sj,2003,12,10,10
sj,2003,12,11,8
sj,2003,12,12,7
sj,2003,12,13,12
sj,2003,12,14,3
sj,2003,12,15,2
sj,2003,12,16,7
sj,2003,12,17,5
sj,2003,13,18,5
sj,2003,13,19,7
sj,2003,13,20,7
sj,2003,13,21,7
sj,2003,13,22,7
sj,2003,13,23,10
sj,2003,13,24,13
sj,2003,13,25,10
sj,2003,13,26,14
sj,2003,13,27,11
sj,2003,13,28,20
sj,2003,13,29,25
sj,2003,13,30,17
sj,2003,13,31,18
sj,2003,13,32,25
sj,2003,13,33,21
sj,2003,13,34,31
sj,2003,13,35,32
sj,2003,13,36,26
sj,2003,13,37,35
sj,2003,13,38,28
sj,2003,13,39,37
sj,2003,13,40,41
sj,2003,13,41,34
sj,2003,13,42,30
sj,2003,13,43,39
sj,2003,13,44,39
sj,2003,13,45,39
sj,2003,13,46,34
sj,2003,13,47,30
sj,2003,13,48,37
sj,2003,13,49,29
sj,2003,13,50,26
sj,2003,13,51,15
sj,2003,13,52,22
sj,2004,13,1,15
sj,2004,13,2,20
sj,2004,13,3,14
sj,2004,13,4,10
sj,2004,13,5,21
sj,2004,13,6,14
sj,2004,13,7,14
sj,2004,13,8,9
sj,2004,13,9,11
sj,2004,13,10,5
sj,2004,13,11,6
sj,2004,13,12,7
sj,2004,13,13,11
sj,2004,13,14,4
sj,2004,13,15,3
sj,2004,13,16,2
sj,2004,13,17,6
sj,2004,14,18,10
sj,2004,14,19,7
sj,2004,14,20,5
sj,2004,14,21,3
sj,2004,14,22,12
sj,2004,14,23,13
sj,2004,14,24,10
sj,2004,14,25,13
sj,2004,14,26,13
sj,2004,14,27,8
sj,2004,14,28,21
sj,2004,14,29,18
sj,2004,14,30,8
sj,2004,14,31,7
sj,2004,14,32,20
sj,2004,14,33,14
sj,2004,14,34,14
sj,2004,14,35,7
sj,2004,14,36,14
sj,2004,14,37,10
sj,2004,14,38,13
sj,2004,14,39,27
sj,2004,14,40,13
sj,2004,14,41,18
sj,2004,14,42,16
sj,2004,14,43,16
sj,2004,14,44,20
sj,2004,14,45,17
sj,2004,14,46,4
sj,2004,14,47,15
sj,2004,14,48,8
sj,2004,14,49,6
sj,2004,14,50,12
sj,2004,14,51,15
sj,2004,14,52,11
sj,2005,14,53,10
sj,2005,14,1,15
sj,2005,14,2,17
sj,2005,14,3,7
sj,2005,14,4,7
sj,2005,14,5,8
sj,2005,14,6,9
sj,2005,14,7,12
sj,2005,14,8,12
sj,2005,14,9,5
sj,2005,14,10,4
sj,2005,14,11,11
sj,2005,14,12,4
sj,2005,14,13,5
sj,2005,14,14,7
sj,2005,14,15,1
sj,2005,14,16,1
sj,2005,14,17,4
sj,2005,15,18,2
sj,2005,15,19,6
sj,2005,15,20,3
sj,2005,15,21,4
sj,2005,15,22,10
sj,2005,15,23,12
sj,2005,15,24,21
sj,2005,15,25,26
sj,2005,15,26,21
sj,2005,15,27,30
sj,2005,15,28,45
sj,2005,15,29,56
sj,2005,15,30,75
sj,2005,15,31,83
sj,2005,15,32,82
sj,2005,15,33,126
sj,2005,15,34,119
sj,2005,15,35,137
sj,2005,15,36,131
sj,2005,15,37,112
sj,2005,15,38,82
sj,2005,15,39,73
sj,2005,15,40,43
sj,2005,15,41,55
sj,2005,15,42,55
sj,2005,15,43,53
sj,2005,15,44,46
sj,2005,15,45,43
sj,2005,15,46,29
sj,2005,15,47,22
sj,2005,15,48,26
sj,2005,15,49,13
sj,2005,15,50,17
sj,2005,15,51,8
sj,2006,15,52,13
sj,2006,15,1,10
sj,2006,15,2,17
sj,2006,15,3,19
sj,2006,15,4,9
sj,2006,15,5,9
sj,2006,15,6,9
sj,2006,15,7,3
sj,2006,15,8,7
sj,2006,15,9,7
sj,2006,15,10,0
sj,2006,15,11,2
sj,2006,15,12,3
sj,2006,15,13,3
sj,2006,15,14,1
sj,2006,15,15,3
sj,2006,15,16,3
sj,2006,15,17,3
sj,2006,16,18,7
sj,2006,16,19,3
sj,2006,16,20,5
sj,2006,16,21,11
sj,2006,16,22,5
sj,2006,16,23,5
sj,2006,16,24,6
sj,2006,16,25,6
sj,2006,16,26,4
sj,2006,16,27,4
sj,2006,16,28,8
sj,2006,16,29,14
sj,2006,16,30,12
sj,2006,16,31,16
sj,2006,16,32,10
sj,2006,16,33,16
sj,2006,16,34,18
sj,2006,16,35,15
sj,2006,16,36,23
sj,2006,16,37,17
sj,2006,16,38,33
sj,2006,16,39,15
sj,2006,16,40,13
sj,2006,16,41,11
sj,2006,16,42,14
sj,2006,16,43,17
sj,2006,16,44,19
sj,2006,16,45,20
sj,2006,16,46,12
sj,2006,16,47,21
sj,2006,16,48,7
sj,2006,16,49,19
sj,2006,16,50,10
sj,2006,16,51,13
sj,2007,16,1,10
sj,2007,16,2,8
sj,2007,16,3,21
sj,2007,16,4,11
sj,2007,16,5,9
sj,2007,16,6,14
sj,2007,16,7,14
sj,2007,16,8,15
sj,2007,16,9,18
sj,2007,16,10,16
sj,2007,16,11,12
sj,2007,16,12,20
sj,2007,16,13,8
sj,2007,16,14,3
sj,2007,16,15,13
sj,2007,16,16,4
sj,2007,16,17,1
sj,2007,17,18,10
sj,2007,17,19,8
sj,2007,17,20,13
sj,2007,17,21,10
sj,2007,17,22,21
sj,2007,17,23,18
sj,2007,17,24,21
sj,2007,17,25,34
sj,2007,17,26,25
sj,2007,17,27,34
sj,2007,17,28,33
sj,2007,17,29,40
sj,2007,17,30,42
sj,2007,17,31,36
sj,2007,17,32,72
sj,2007,17,33,75
sj,2007,17,34,76
sj,2007,17,35,92
sj,2007,17,36,71
sj,2007,17,37,112
sj,2007,17,38,106
sj,2007,17,39,101
sj,2007,17,40,170
sj,2007,17,41,135
sj,2007,17,42,106
sj,2007,17,43,68
sj,2007,17,44,48
sj,2007,17,45,48
sj,2007,17,46,26
sj,2007,17,47,33
sj,2007,17,48,29
sj,2007,17,49,17
sj,2007,17,50,12
sj,2007,17,51,13
sj,2007,17,52,17
sj,2008,17,1,15
sj,2008,17,2,14
sj,2008,17,3,15
sj,2008,17,4,10
sj,2008,17,5,9
sj,2008,17,6,2
sj,2008,17,7,6
sj,2008,17,8,8
sj,2008,17,9,5
sj,2008,17,10,1
sj,2008,17,11,2
sj,2008,17,12,3
sj,2008,17,13,4
sj,2008,17,14,3
sj,2008,17,15,1
sj,2008,17,16,3
sj,2008,17,17,5
iq,2000,1,49,0
iq,2000,1,50,1
iq,2000,1,51,0
iq,2001,1,1,0
iq,2001,1,2,0
iq,2001,1,3,0
iq,2001,1,4,0
iq,2001,1,5,0
iq,2001,1,6,0
iq,2001,1,7,0
iq,2001,1,8,0
iq,2001,1,9,0
iq,2001,1,10,0
iq,2001,1,11,0
iq,2001,1,12,0
iq,2001,1,13,0
iq,2001,1,14,0
iq,2001,1,15,0
iq,2001,1,16,1
iq,2001,1,17,0
iq,2001,1,18,0
iq,2001,1,19,0
iq,2001,1,20,0
iq,2001,1,21,1
iq,2001,1,22,1
iq,2001,1,23,0
iq,2001,1,24,0
iq,2001,1,25,1
iq,2001,2,26,0
iq,2001,2,27,0
iq,2001,2,28,0
iq,2001,2,29,0
iq,2001,2,30,0
iq,2001,2,31,0
iq,2001,2,32,0
iq,2001,2,33,0
iq,2001,2,34,0
iq,2001,2,35,0
iq,2001,2,36,0
iq,2001,2,37,0
iq,2001,2,38,0
iq,2001,2,39,0
iq,2001,2,40,0
iq,2001,2,41,0
iq,2001,2,42,0
iq,2001,2,43,0
iq,2001,2,44,0
iq,2001,2,45,0
iq,2001,2,46,0
iq,2001,2,47,1
iq,2001,2,48,1
iq,2001,2,49,1
iq,2001,2,50,2
iq,2001,2,51,4
iq,2001,2,52,1
iq,2002,2,1,4
iq,2002,2,2,11
iq,2002,2,3,16
iq,2002,2,4,23
iq,2002,2,5,12
iq,2002,2,6,14
iq,2002,2,7,18
iq,2002,2,8,8
iq,2002,2,9,7
iq,2002,2,10,10
iq,2002,2,11,7
iq,2002,2,12,10
iq,2002,2,13,5
iq,2002,2,14,11
iq,2002,2,15,8
iq,2002,2,16,18
iq,2002,2,17,13
iq,2002,2,18,9
iq,2002,2,19,22
iq,2002,2,20,10
iq,2002,2,21,5
iq,2002,2,22,13
iq,2002,2,23,2
iq,2002,2,24,11
iq,2002,2,25,11
iq,2002,3,26,3
iq,2002,3,27,7
iq,2002,3,28,7
iq,2002,3,29,4
iq,2002,3,30,5
iq,2002,3,31,6
iq,2002,3,32,7
iq,2002,3,33,7
iq,2002,3,34,4
iq,2002,3,35,9
iq,2002,3,36,17
iq,2002,3,37,8
iq,2002,3,38,22
iq,2002,3,39,18
iq,2002,3,40,21
iq,2002,3,41,16
iq,2002,3,42,31
iq,2002,3,43,25
iq,2002,3,44,28
iq,2002,3,45,26
iq,2002,3,46,18
iq,2002,3,47,27
iq,2002,3,48,11
iq,2002,3,49,38
iq,2002,3,50,29
iq,2002,3,51,21
iq,2002,3,52,11
iq,2003,3,1,10
iq,2003,3,2,5
iq,2003,3,3,6
iq,2003,3,4,2
iq,2003,3,5,1
iq,2003,3,6,2
iq,2003,3,7,2
iq,2003,3,8,3
iq,2003,3,9,5
iq,2003,3,10,1
iq,2003,3,11,4
iq,2003,3,12,2
iq,2003,3,13,4
iq,2003,3,14,0
iq,2003,3,15,0
iq,2003,3,16,0
iq,2003,3,17,0
iq,2003,3,18,1
iq,2003,3,19,1
iq,2003,3,20,1
iq,2003,3,21,1
iq,2003,3,22,1
iq,2003,3,23,2
iq,2003,3,24,3
iq,2003,3,25,4
iq,2003,4,26,6
iq,2003,4,27,2
iq,2003,4,28,2
iq,2003,4,29,5
iq,2003,4,30,1
iq,2003,4,31,1
iq,2003,4,32,0
iq,2003,4,33,0
iq,2003,4,34,0
iq,2003,4,35,0
iq,2003,4,36,2
iq,2003,4,37,0
iq,2003,4,38,3
iq,2003,4,39,0
iq,2003,4,40,0
iq,2003,4,41,0
iq,2003,4,42,2
iq,2003,4,43,2
iq,2003,4,44,3
iq,2003,4,45,3
iq,2003,4,46,3
iq,2003,4,47,1
iq,2003,4,48,2
iq,2003,4,49,3
iq,2003,4,50,6
iq,2003,4,51,5
iq,2003,4,52,1
iq,2004,4,1,4
iq,2004,4,2,5
iq,2004,4,3,8
iq,2004,4,4,5
iq,2004,4,5,2
iq,2004,4,6,3
iq,2004,4,7,3
iq,2004,4,8,1
iq,2004,4,9,6
iq,2004,4,10,4
iq,2004,4,11,1
iq,2004,4,12,2
iq,2004,4,13,3
iq,2004,4,14,1
iq,2004,4,15,8
iq,2004,4,16,4
iq,2004,4,17,6
iq,2004,4,18,7
iq,2004,4,19,5
iq,2004,4,20,8
iq,2004,4,21,6
iq,2004,4,22,5
iq,2004,4,23,6
iq,2004,4,24,6
iq,2004,4,25,13
iq,2004,5,26,2
iq,2004,5,27,10
iq,2004,5,28,3
iq,2004,5,29,12
iq,2004,5,30,7
iq,2004,5,31,6
iq,2004,5,32,5
iq,2004,5,33,6
iq,2004,5,34,6
iq,2004,5,35,6
iq,2004,5,36,8
iq,2004,5,37,6
iq,2004,5,38,9
iq,2004,5,39,12
iq,2004,5,40,19
iq,2004,5,41,8
iq,2004,5,42,16
iq,2004,5,43,21
iq,2004,5,44,6
iq,2004,5,45,22
iq,2004,5,46,37
iq,2004,5,47,33
iq,2004,5,48,18
iq,2004,5,49,83
iq,2004,5,50,116
iq,2004,5,51,32
iq,2004,5,52,7
iq,2005,5,53,9
iq,2005,5,1,10
iq,2005,5,2,5
iq,2005,5,3,8
iq,2005,5,4,7
iq,2005,5,5,8
iq,2005,5,6,11
iq,2005,5,7,6
iq,2005,5,8,7
iq,2005,5,9,7
iq,2005,5,10,14
iq,2005,5,11,7
iq,2005,5,12,9
iq,2005,5,13,13
iq,2005,5,14,16
iq,2005,5,15,7
iq,2005,5,16,9
iq,2005,5,17,2
iq,2005,5,18,13
iq,2005,5,19,8
iq,2005,5,20,3
iq,2005,5,21,5
iq,2005,5,22,4
iq,2005,5,23,8
iq,2005,5,24,2
iq,2005,5,25,3
iq,2005,6,26,5
iq,2005,6,27,7
iq,2005,6,28,3
iq,2005,6,29,5
iq,2005,6,30,6
iq,2005,6,31,5
iq,2005,6,32,5
iq,2005,6,33,4
iq,2005,6,34,0
iq,2005,6,35,0
iq,2005,6,36,0
iq,2005,6,37,0
iq,2005,6,38,0
